,idx,pool_factor,pool_type,cross_idx,repeat_idx,loss,accuracy,consis_b,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment,marker,blur_size
0,2,1,max,0,1,1.2518014923946277,0.8716216087341309,0.9678330928330928,0.9865601846471947,0.9399837376027852,0.9951369216988508,0.9956824480634006,0.9127277334531148,True,$M$,0
1,17,1,max,1,6,2.716110150535385,0.8571428656578064,0.9962894248608536,0.9514387104822422,0.9925788497217072,0.9435473794260788,1.0,0.6564364830652872,True,$M$,0
2,29,1,max,2,8,0.07349166796542704,0.9800000190734864,1.0,0.9996401381869362,1.0,0.9995729517103285,1.0,1.0,True,$M$,0
3,39,1,max,3,8,0.2994592031846716,0.9452054500579834,1.0,0.9997465600434059,1.0,0.9997005389771192,1.0,1.0,True,$M$,0
4,43,1,max,4,2,0.9054931549176778,0.8904109597206116,0.9530109952645164,0.9855574920509984,0.9060219905290328,1.0,1.0,0.7102659245332082,True,$M$,0
0,8,1,avg,0,7,1.121911416333672,0.8851351141929626,0.951693808836666,0.9835789018140144,0.9052314528505004,0.9980060535413112,0.9981561648228316,0.8827160398165385,True,$A$,-1
1,14,1,avg,1,3,1.832742023777652,0.8831169009208679,0.9775688861403148,0.963645387924971,0.9556709956709956,0.9651750028074472,0.9994667766096338,0.6615515748659769,True,$A$,-1
2,27,1,avg,2,6,0.02610092653427273,0.993333339691162,0.999726083874812,0.9980123188251268,1.0,0.9976412172247028,0.9994521677496238,1.0,True,$A$,-1
3,31,1,avg,3,0,8.313740567844009e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,$A$,-1
4,42,1,avg,4,1,0.6766385966784334,0.9246575236320496,0.9730039689798242,0.9876617576060992,0.9523432078764068,0.9940751003958896,0.9936647300832412,0.9438732067743936,True,$A$,-1
0,6,1,maxblur-3,0,5,1.6327500778275568,0.8581081032752991,0.9263009917771822,0.9764088631722078,0.8539705444467349,0.9989550497405814,0.9986314391076294,0.7839506169160207,True,^,3
1,11,1,maxblur-3,1,0,2.3292318876687585,0.8051947951316833,0.9832886690029548,0.9365583663560364,0.9665773380059094,0.9308002515894368,1.0,0.6624833904206753,True,^,3
2,24,1,maxblur-3,2,3,0.06611300404804449,0.9733333587646484,0.9988167952942903,0.9967105964642908,1.0,0.996096462300335,0.9976335905885808,0.9991474946339926,True,^,3
3,35,1,maxblur-3,3,4,0.00170041677463889,1.0,1.0,1.0,1.0,1.0,1.0,0.99295774102211,True,^,3
4,41,1,maxblur-3,4,0,0.8267051626239227,0.9589040875434875,0.9613438204987501,0.9879089508031994,0.9261078737939906,0.9991311412575572,0.9965797672035096,0.8487940629323324,True,^,3
0,8,1,maxblur-4,0,7,1.1403930203334705,0.8581081032752991,0.9269394626537484,0.9714810199228588,0.8779232231613183,0.9887090541091272,0.9759557021461782,0.8386536637941996,True,D,4
1,16,1,maxblur-4,1,5,2.0358505171614807,0.8441558480262756,0.993637050779908,0.9230387433943534,0.9872741015598159,0.910717383132436,1.0,0.6453537940979004,True,D,4
2,21,1,maxblur-4,2,0,0.21271186252124608,0.959999978542328,0.995815013427538,0.9986831723284924,0.9916300268550756,1.0,1.0,0.9846153855323792,True,D,4
3,32,1,maxblur-4,3,1,0.00032883745963978084,1.0,0.9764503325871534,0.9886942577109552,1.0,0.9866412968349396,0.9529006651743068,0.9987212419509888,True,D,4
4,42,1,maxblur-4,4,1,0.7119117256713241,0.9589040875434875,0.957656472747016,0.9831881854145306,0.9268917981191622,0.9934108030564004,0.9884211473748696,0.8911564548810323,True,D,4
0,2,1,maxblur-5,0,1,1.2136039798324172,0.7972972989082336,0.8732134267848553,0.8861547105916128,0.9042809042809041,0.8828168948738915,0.8421459492888064,0.8779798547426859,True,p,5
1,14,1,maxblur-5,1,3,2.253192844328942,0.8571428656578064,0.9809056551913696,0.9196121679260858,0.9635813921528208,0.9111781735091932,0.9982299182299182,0.7313983291387558,True,p,5
2,26,1,maxblur-5,2,5,0.32068065198477896,0.9399999976158142,0.9979470409998786,0.9976595653935556,0.9994521677496238,0.9973248851582792,0.9964419142501336,0.9948717951774596,True,p,5
3,39,1,maxblur-5,3,8,3.947398079318403e-05,1.0,0.9658586439270544,0.9804253329299712,1.0,0.976870853743342,0.9317172878541088,0.9923273622989656,True,p,5
4,47,1,maxblur-5,4,6,0.8832662366840938,0.8630136847496033,0.9605192482456064,0.9844384297074464,0.9224031055016972,0.9957031560977486,0.9986353909895158,0.8540507157643636,True,p,5
0,9,1,maxblur-6,0,8,1.934144680564468,0.8175675868988037,0.9434709910900386,0.9733118196555408,0.8936645365216793,0.9879783270356892,0.9932774456583979,0.8678128321965536,True,h,6
1,16,1,maxblur-6,1,5,2.8197405988519844,0.8571428656578064,1.0,0.9920586260255176,1.0,0.9905353445726116,1.0,0.6649616360664368,True,h,6
2,27,1,maxblur-6,2,6,0.1761373731183509,0.946666657924652,0.965636233737995,0.9827497352127894,1.0,0.9795290975415198,0.93127246747599,0.991461733977,True,h,6
3,37,1,maxblur-6,3,6,0.008288050300046191,1.0,0.9934585870199552,0.9968221842062288,1.0,0.9962451383715542,0.9869171740399104,0.98591548204422,True,h,6
4,43,1,maxblur-6,4,2,0.8535885116444125,0.965753436088562,0.959918239596308,0.9831881854145306,0.9248884359548344,0.9937745849327874,0.9949480432377816,0.8275333841641744,True,h,6
0,1,1,maxblur-7,0,0,1.3020283015998635,0.8243243098258972,0.9360813348908588,0.969773995074828,0.8860429693763027,0.9851924959707202,0.9861197004054146,0.8386536637941996,True,*,7
1,14,1,maxblur-7,1,3,2.2087567750509685,0.8116883039474487,0.9836102521816809,0.8806068922561873,0.9704913076341648,0.8633656361095163,0.9967291967291968,0.6360554260512193,True,*,7
2,29,1,maxblur-7,2,8,0.14372920634845893,0.959999978542328,0.9908760515414136,0.9931110897859668,1.0,0.9918249249633978,0.9817521030828272,0.99829496939977,True,*,7
