,pool_factor,pool_type,marker,loss,accuracy,consis_b,consis_b_std,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment
0,1,max,$M$,1.0492711337995577,0.9088761806488037,0.9834267025916926,0.019406565464594332,0.9845886170821554,0.967716915570705,0.9875915583624755,0.99913648961268,0.9127277334531148,True
1,1,avg,$A$,0.7314802554129196,0.9372485756874085,0.9803985495663234,0.01813515590813191,0.9865796732340423,0.9626491312795805,0.99097947479387,0.9981479678530661,0.8827160398165385,True
2,1,maxblur-3,^,0.9713001097885844,0.9191080689430237,0.9739500553146355,0.02761707621445646,0.979517355359147,0.949331151249327,0.984996580977582,0.9985689593799438,0.7839506169160207,True
3,1,maxblur-4,D,0.8202391926294321,0.9242336034774781,0.9700996664390727,0.025586147630772833,0.9730170757542382,0.9567438299390745,0.9758957074265805,0.983455502939071,0.8386536637941996,True
4,1,maxblur-5,p,0.9341566373622051,0.8914907693862915,0.9556888030297529,0.04324487220672024,0.9536580413097344,0.957943513937009,0.9527787926764908,0.9534340921224966,0.8779798547426859,True
5,1,maxblur-6,h,1.1583798428958523,0.9174261093139648,0.9724968102888594,0.021183048219988145,0.9856261101029216,0.9637105944953028,0.9896124984908325,0.981283026082416,0.8678128321965536,True
6,1,maxblur-7,*,0.8776245704090584,0.9027641654014588,0.9739316805067382,0.022358448640305773,0.9654643587941836,0.9573367432428463,0.9667920923310035,0.9905266177706299,0.8386536637941996,True
7,2,max,$M$,0.7310658725045931,0.9414795875549317,0.9753377394485229,0.026568260681864558,0.9837823753378455,0.9759707545184793,0.9852192787523443,0.9747047243785666,0.9467651844024658,True
8,2,avg,$A$,0.5666364939355049,0.9415322422981263,0.9527052358097535,0.031853366825886714,0.9769498600783523,0.9513798263078419,0.9817486942075908,0.9540306453116649,0.8892993529637655,True
9,2,maxblur-3,^,0.8488370954514357,0.9249203085899353,0.9533442802074592,0.043222189855859565,0.9706329504310169,0.9626495790519936,0.9722275207843347,0.9440389813629249,0.9067285458246866,True
10,2,maxblur-4,D,0.888461661141924,0.9362359285354614,0.9391089913203416,0.04625023834455426,0.9645354557300724,0.9658572115714972,0.9643280764216093,0.9123607710691859,0.9052603443463644,True
11,2,maxblur-5,p,0.8788528191975417,0.9468722462654113,0.951275884907005,0.050672330787486064,0.9756195335866824,0.9625786135766015,0.9780838817740534,0.9399731562374084,0.8117836515108744,True
12,2,maxblur-6,h,0.793378316316839,0.930655550956726,0.9683989026659201,0.02909948028785937,0.9772715868717574,0.9702456360739392,0.978602033698855,0.9665521692579013,0.9181901415189108,True
13,2,maxblur-7,*,0.8952707603209481,0.9402596354484558,0.9683818135133608,0.018332071012753658,0.9846867180834705,0.9663712633343755,0.9880698524469075,0.9703923636923463,0.9163430333137512,True
14,3,max,$M$,0.947713039717676,0.915346896648407,0.9719928573043793,0.01590628824747028,0.9780941018346383,0.9640739581757745,0.980643851743596,0.9799117564329844,0.9259259303410848,True
15,3,avg,$A$,0.4736518117739966,0.9453259229660034,0.9618582716569083,0.027621886105653932,0.9698675281943439,0.9680919578719713,0.9702139617375277,0.9556245854418451,0.8506046533584595,True
16,3,maxblur-3,^,0.5118273519320826,0.9437396883964538,0.9500085028721598,0.03298473606335027,0.9469550825584216,0.9674124709778633,0.94302690773279,0.9326045347664561,0.92142653465271,True
17,3,maxblur-4,D,0.7739296883091823,0.9428333282470703,0.9593842194614774,0.013645603409095009,0.9697942748391248,0.9694529550237128,0.9698691597851262,0.9493154838992423,0.9059076110521952,True
18,3,maxblur-5,p,0.813201696861751,0.944182288646698,0.9565662182167884,0.025517602711232008,0.9703930949863693,0.9609965007295658,0.9722091735244822,0.9521359357040108,0.8554671605428059,True
19,3,maxblur-6,h,0.7594039976890935,0.9456783652305603,0.9560048055237272,0.030823861736011794,0.970847776376476,0.9669437506875468,0.9715701827503069,0.9450658603599077,0.8963247140248617,True
20,3,maxblur-7,*,0.8430897500397275,0.9287807941436768,0.9649294534881665,0.03366110591564379,0.9752094317561276,0.956552481926112,0.9786766880665312,0.9733064250502211,0.8192826310793558,True
21,1,max,$M$,0.7139337009866485,0.8610721707344056,0.8043504231045828,0.05449522689365202,0.7236615618877161,0.8640056753840829,0.6979549659125838,0.7446951708250827,0.8164251248041788,False
22,1,avg,$A$,0.7427199636665519,0.803283429145813,0.7996398040296132,0.07121086225598222,0.7462235265290246,0.8292734560894571,0.730771254483348,0.7700061519697694,0.7357361515363058,False
